@RELATION VENTAS

@ATTRIBUTE idVenta			NUMERIC
@ATTRIBUTE idTiempo			NUMERIC
@ATTRIBUTE cveProducto		NUMERIC
@ATTRIBUTE cveCategoria		NUMERIC
@ATTRIBUTE cveCliente		NUMERIC
@ATTRIBUTE totalProductos	NUMERIC
@ATTRIBUTE subTotal			NUMERIC
@ATTRIBUTE descuento		NUMERIC

@DATA
10335,19961022,51,7,37,48,2035.20,0.20
10336,19961023,4,2,60,18,316.80,0.10
10337,19961024,23,5,25,40,288.00,0.00
10337,19961024,26,3,25,24,597.60,0.00
10337,19961024,36,8,25,20,304.00,0.00
10337,19961024,37,8,25,28,582.40,0.00
10337,19961024,72,4,25,25,695.00,0.00
10338,19961025,30,8,55,15,310.50,0.00
10338,19961025,17,6,55,20,624.00,0.00
10339,19961028,17,6,51,70,2184.00,0.05
10339,19961028,62,3,51,28,1103.20,0.00
10339,19961028,4,2,51,10,176.00,0.00
10340,19961029,18,8,9,20,1000.00,0.05
10340,19961029,43,1,9,40,1472.00,0.05
10340,19961029,41,8,9,12,92.40,0.05
10341,19961029,59,4,73,9,396.00,0.15
10341,19961029,33,4,73,8,16.00,0.00
10342,19961030,55,6,25,40,768.00,0.20
10342,19961030,2,1,25,24,364.80,0.20
10342,19961030,36,8,25,40,608.00,0.20
10342,19961030,31,4,25,56,560.00,0.20
10343,19961031,76,1,44,15,216.00,0.00
10343,19961031,68,3,44,4,40.00,0.05
10343,19961031,64,5,44,50,1330.00,0.00
10344,19961101,4,2,89,35,616.00,0.00
10344,19961101,8,2,89,70,2240.00,0.25
10345,19961104,8,2,63,70,2240.00,0.00
10345,19961104,19,3,63,80,584.00,0.00
10345,19961104,42,5,63,9,100.80,0.00
10346,19961105,17,6,65,36,1123.20,0.10
10346,19961105,56,5,65,20,608.00,0.00
10347,19961106,25,3,21,10,112.00,0.00
10347,19961106,75,1,21,6,37.20,0.15
10347,19961106,40,8,21,4,58.80,0.00
10347,19961106,39,1,21,50,720.00,0.15
10348,19961107,1,1,86,15,216.00,0.15
10348,19961107,23,5,86,25,180.00,0.00
10349,19961108,54,6,75,24,141.60,0.00
10350,19961111,50,3,41,15,195.00,0.10
10350,19961111,69,4,41,18,518.40,0.10
10351,19961111,38,1,20,20,4216.00,0.05
10351,19961111,44,2,20,77,1193.50,0.05
10351,19961111,65,2,20,10,168.00,0.05
10351,19961111,41,8,20,13,100.10,0.00
10352,19961112,54,6,28,20,118.00,0.15
10352,19961112,24,1,28,10,36.00,0.00
10353,19961113,38,1,59,50,10540.00,0.20
10353,19961113,11,4,59,12,201.60,0.20
10354,19961114,29,6,58,4,396.00,0.00
10354,19961114,1,1,58,12,172.80,0.00
10355,19961115,24,1,4,25,90.00,0.00
10355,19961115,57,5,4,25,390.00,0.00
10356,19961118,31,4,86,30,300.00,0.00
10356,19961118,69,4,86,20,576.00,0.00
10356,19961118,55,6,86,12,230.40,0.00
10357,19961119,60,4,46,8,217.60,0.20
10357,19961119,26,3,46,16,398.40,0.00
10357,19961119,10,8,46,30,744.00,0.20
10358,19961120,36,8,41,20,304.00,0.05
10358,19961120,34,1,41,10,112.00,0.05
10358,19961120,24,1,41,10,36.00,0.05
10359,19961121,16,3,72,56,778.40,0.05
10359,19961121,60,4,72,80,2176.00,0.05
10359,19961121,31,4,72,70,700.00,0.05
10360,19961122,49,3,7,35,560.00,0.00
10360,19961122,38,1,7,10,2108.00,0.00
10360,19961122,28,7,7,30,1092.00,0.00
10360,19961122,29,6,7,35,3465.00,0.00
10360,19961122,54,6,7,28,165.20,0.00
10361,19961122,60,4,63,55,1496.00,0.10
10361,19961122,39,1,63,54,777.60,0.10
10362,19961125,54,6,9,24,141.60,0.00
10362,19961125,51,7,9,20,848.00,0.00
10362,19961125,25,3,9,50,560.00,0.00
10363,19961126,31,4,17,20,200.00,0.00
10363,19961126,76,1,17,12,172.80,0.00
10363,19961126,75,1,17,12,74.40,0.00
10364,19961126,69,4,19,30,864.00,0.00
10364,19961126,71,4,19,5,86.00,0.00
10365,19961127,11,4,3,24,403.20,0.00
10366,19961128,65,2,29,5,84.00,0.00
10366,19961128,77,2,29,5,52.00,0.00
10367,19961128,77,2,83,7,72.80,0.00
10367,19961128,65,2,83,15,252.00,0.00
10367,19961128,34,1,83,36,403.20,0.00
10367,19961128,54,6,83,18,106.20,0.00
10368,19961129,64,5,20,35,931.00,0.10
10368,19961129,28,7,20,13,473.20,0.10
10368,19961129,57,5,20,25,390.00,0.00
10368,19961129,21,3,20,5,40.00,0.10
10369,19961202,56,5,75,18,547.20,0.25
10369,19961202,29,6,75,20,1980.00,0.00
10370,19961203,74,7,14,20,160.00,0.15
10370,19961203,1,1,14,15,216.00,0.15
10370,19961203,64,5,14,30,798.00,0.00
10371,19961203,36,8,41,6,91.20,0.20
10372,19961204,38,1,62,40,8432.00,0.25
10372,19961204,72,4,62,42,1167.60,0.25
10372,19961204,60,4,62,70,1904.00,0.25
10372,19961204,20,3,62,12,777.60,0.25
10373,19961205,71,4,37,50,860.00,0.20
10373,19961205,58,8,37,80,848.00,0.20
10374,19961205,58,8,91,15,159.00,0.00
10374,19961205,31,4,91,30,300.00,0.00
10375,19961206,54,6,36,10,59.00,0.00
10375,19961206,14,7,36,15,279.00,0.00
10376,19961209,31,4,51,42,420.00,0.05
10377,19961209,39,1,72,20,288.00,0.15
10377,19961209,28,7,72,20,728.00,0.15
10378,19961210,71,4,24,6,103.20,0.00
10379,19961211,41,8,61,8,61.60,0.10
10379,19961211,65,2,61,20,336.00,0.10
10379,19961211,63,2,61,16,561.60,0.10
10380,19961212,30,8,37,18,372.60,0.10
10380,19961212,60,4,37,6,163.20,0.10
10380,19961212,53,6,37,20,524.00,0.10
10380,19961212,70,1,37,30,360.00,0.00
10381,19961212,74,7,46,14,112.00,0.00
10382,19961213,33,4,20,60,120.00,0.00
10382,19961213,29,6,20,14,1386.00,0.00
10382,19961213,5,2,20,32,544.00,0.00
10382,19961213,74,7,20,50,400.00,0.00
10382,19961213,18,8,20,9,450.00,0.00
10383,19961216,50,3,4,15,195.00,0.00
10383,19961216,56,5,4,20,608.00,0.00
10383,19961216,13,8,4,20,96.00,0.00
10384,19961216,60,4,5,15,408.00,0.00
10384,19961216,20,3,5,28,1814.40,0.00
10385,19961217,68,3,75,8,80.00,0.20
10385,19961217,7,7,75,10,240.00,0.20
10385,19961217,60,4,75,20,544.00,0.20
10386,19961218,34,1,21,10,112.00,0.00
10386,19961218,24,1,21,15,54.00,0.00
10387,19961218,71,4,70,15,258.00,0.00
10387,19961218,28,7,70,6,218.40,0.00
10387,19961218,24,1,70,15,54.00,0.00
10387,19961218,59,4,70,12,528.00,0.00
10388,19961219,52,5,72,20,112.00,0.20
10388,19961219,45,8,72,15,114.00,0.20
10388,19961219,53,6,72,40,1048.00,0.00
10389,19961220,62,3,10,20,788.00,0.00
10389,19961220,70,1,10,30,360.00,0.00
10389,19961220,10,8,10,16,396.80,0.00
10389,19961220,55,6,10,15,288.00,0.00
10390,19961223,72,4,20,24,667.20,0.10
10390,19961223,35,1,20,40,576.00,0.10
10390,19961223,46,8,20,45,432.00,0.00
10390,19961223,31,4,20,60,600.00,0.10
10391,19961223,13,8,17,18,86.40,0.00
10392,19961224,69,4,59,50,1440.00,0.00
10393,19961225,31,4,71,32,320.00,0.00
10393,19961225,25,3,71,7,78.40,0.25
10393,19961225,26,3,71,70,1743.00,0.25
10393,19961225,14,7,71,42,781.20,0.25
10393,19961225,2,1,71,25,380.00,0.25
10394,19961225,13,8,36,10,48.00,0.00
10394,19961225,62,3,36,10,394.00,0.00
10395,19961226,53,6,35,70,1834.00,0.10
10395,19961226,46,8,35,28,268.80,0.10
10395,19961226,69,4,35,8,230.40,0.00
10396,19961227,23,5,25,40,288.00,0.00
10396,19961227,72,4,25,21,583.80,0.00
10396,19961227,71,4,25,60,1032.00,0.00
10397,19961227,21,3,60,10,80.00,0.15
10397,19961227,51,7,60,18,763.20,0.15
10398,19961230,35,1,71,30,432.00,0.00
10398,19961230,55,6,71,120,2304.00,0.10
10399,19961231,68,3,83,60,600.00,0.00
10399,19961231,76,1,83,35,504.00,0.00
10399,19961231,77,2,83,14,145.60,0.00
10399,19961231,71,4,83,30,516.00,0.00
10400,19970101,49,3,19,30,480.00,0.00
10400,19970101,35,1,19,35,504.00,0.00
10400,19970101,29,6,19,21,2079.00,0.00
10401,19970101,30,8,65,18,372.60,0.00
10401,19970101,56,5,65,70,2128.00,0.00
10401,19970101,71,4,65,60,1032.00,0.00
10401,19970101,65,2,65,20,336.00,0.00
10402,19970102,23,5,20,60,432.00,0.00
10402,19970102,63,2,20,65,2281.50,0.00
10403,19970103,16,3,20,21,291.90,0.15
10403,19970103,48,3,20,70,714.00,0.15
10404,19970103,42,5,49,40,448.00,0.05
10404,19970103,26,3,49,30,747.00,0.05
10404,19970103,49,3,49,30,480.00,0.05
10405,19970106,3,2,47,50,400.00,0.00
10406,19970107,36,8,62,5,76.00,0.10
10406,19970107,21,3,62,30,240.00,0.10
10406,19970107,1,1,62,10,144.00,0.00
10406,19970107,40,8,62,2,29.40,0.10
10406,19970107,28,7,62,42,1528.80,0.10
10407,19970107,69,4,56,15,432.00,0.00
10407,19970107,71,4,56,15,258.00,0.00
10407,19970107,11,4,56,30,504.00,0.00
10408,19970108,37,8,23,10,208.00,0.00
10408,19970108,54,6,23,6,35.40,0.00
10408,19970108,62,3,23,35,1379.00,0.00
10409,19970109,21,3,54,12,96.00,0.00
10409,19970109,14,7,54,12,223.20,0.00
10410,19970110,59,4,10,16,704.00,0.00
10410,19970110,33,4,10,49,98.00,0.00
10411,19970110,44,2,10,40,620.00,0.20
10411,19970110,41,8,10,25,192.50,0.20
10411,19970110,59,4,10,9,396.00,0.20
10412,19970113,14,7,87,20,372.00,0.10
10413,19970114,62,3,41,40,1576.00,0.00
10413,19970114,1,1,41,24,345.60,0.00
10413,19970114,76,1,41,14,201.60,0.00
10414,19970114,33,4,21,50,100.00,0.00
10414,19970114,19,3,21,18,131.40,0.05
10415,19970115,17,6,36,2,62.40,0.00
10415,19970115,33,4,36,20,40.00,0.00
10416,19970116,53,6,87,10,262.00,0.00
10416,19970116,19,3,87,20,146.00,0.00
10416,19970116,57,5,87,20,312.00,0.00
10417,19970116,68,3,73,36,360.00,0.25
10417,19970116,77,2,73,35,364.00,0.00
10417,19970116,38,1,73,50,10540.00,0.00
10417,19970116,46,8,73,2,19.20,0.25
10418,19970117,61,2,63,16,364.80,0.00
10418,19970117,2,1,63,60,912.00,0.00
10418,19970117,74,7,63,15,120.00,0.00
10418,19970117,47,3,63,55,418.00,0.00
10419,19970120,60,4,68,60,1632.00,0.05
10419,19970120,69,4,68,20,576.00,0.05
10420,19970121,9,6,88,20,1552.00,0.10
10420,19970121,70,1,88,8,96.00,0.10
10420,19970121,13,8,88,2,9.60,0.10
10420,19970121,73,8,88,20,240.00,0.10
10421,19970121,53,6,61,15,393.00,0.15
10421,19970121,77,2,61,10,104.00,0.15
10421,19970121,26,3,61,30,747.00,0.00
10421,19970121,19,3,61,4,29.20,0.15
10422,19970122,26,3,27,2,49.80,0.00
10423,19970123,31,4,31,14,140.00,0.00
10423,19970123,59,4,31,20,880.00,0.00
10424,19970123,38,1,51,49,10329.20,0.20
10424,19970123,35,1,51,60,864.00,0.20
10424,19970123,68,3,51,30,300.00,0.20
10425,19970124,55,6,41,10,192.00,0.25
10425,19970124,76,1,41,20,288.00,0.25
10426,19970127,56,5,29,5,152.00,0.00
10426,19970127,64,5,29,7,186.20,0.00
10427,19970127,14,7,59,35,651.00,0.00
10428,19970128,46,8,66,20,192.00,0.00
10429,19970129,50,3,37,40,520.00,0.00
10429,19970129,63,2,37,35,1228.50,0.25
10430,19970130,21,3,20,50,400.00,0.00
10430,19970130,59,4,20,70,3080.00,0.20
10430,19970130,17,6,20,45,1404.00,0.20
10430,19970130,56,5,20,30,912.00,0.00
10431,19970130,17,6,10,50,1560.00,0.25
10431,19970130,40,8,10,50,735.00,0.25
10431,19970130,47,3,10,30,228.00,0.25
10432,19970131,26,3,75,10,249.00,0.00
10432,19970131,54,6,75,40,236.00,0.00
10433,19970203,56,5,60,28,851.20,0.00
10434,19970203,11,4,24,6,100.80,0.00
10434,19970203,76,1,24,18,259.20,0.15
10435,19970204,72,4,16,10,278.00,0.00
10435,19970204,22,5,16,12,201.60,0.00
10435,19970204,2,1,16,10,152.00,0.00
10436,19970205,64,5,7,30,798.00,0.10
10436,19970205,46,8,7,5,48.00,0.00
10436,19970205,75,1,7,24,148.80,0.10
10436,19970205,56,5,7,40,1216.00,0.10
10437,19970205,53,6,87,15,393.00,0.00
10438,19970206,57,5,79,15,234.00,0.20
10438,19970206,34,1,79,20,224.00,0.20
10438,19970206,19,3,79,15,109.50,0.20
10439,19970207,12,4,51,15,456.00,0.00
10439,19970207,74,7,51,30,240.00,0.00
10439,19970207,64,5,51,6,159.60,0.00
10439,19970207,16,3,51,16,222.40,0.00
10440,19970210,61,2,71,90,2052.00,0.15
10440,19970210,2,1,71,45,684.00,0.15
10440,19970210,16,3,71,49,681.10,0.15
10440,19970210,29,6,71,24,2376.00,0.15
10441,19970210,27,3,55,50,1755.00,0.00
10442,19970211,66,2,20,60,816.00,0.00
10442,19970211,11,4,20,30,504.00,0.00
10442,19970211,54,6,20,80,472.00,0.00
10443,19970212,28,7,66,12,436.80,0.00
10443,19970212,11,4,66,6,100.80,0.20
10444,19970212,35,1,5,8,115.20,0.00
10444,19970212,17,6,5,10,312.00,0.00
10444,19970212,41,8,5,30,231.00,0.00
10444,19970212,26,3,5,15,373.50,0.00
10445,19970213,54,6,5,15,88.50,0.00
10445,19970213,39,1,5,6,86.40,0.00
10446,19970214,24,1,79,20,72.00,0.10
10446,19970214,19,3,79,12,87.60,0.10
10446,19970214,52,5,79,15,84.00,0.10
10446,19970214,31,4,79,3,30.00,0.10
10447,19970214,71,4,67,2,34.40,0.00
10447,19970214,19,3,67,40,292.00,0.00
10447,19970214,65,2,67,35,588.00,0.00
10448,19970217,26,3,64,6,149.40,0.00
10448,19970217,40,8,64,20,294.00,0.00
10449,19970218,52,5,7,20,112.00,0.00
10449,19970218,10,8,7,14,347.20,0.00
10449,19970218,62,3,7,35,1379.00,0.00
10450,19970219,10,8,84,20,496.00,0.20
10450,19970219,54,6,84,6,35.40,0.20
10451,19970219,55,6,63,120,2304.00,0.10
10451,19970219,64,5,63,35,931.00,0.10
10451,19970219,65,2,63,28,470.40,0.10
10451,19970219,77,2,63,55,572.00,0.10
10452,19970220,28,7,71,15,546.00,0.00
10452,19970220,44,2,71,100,1550.00,0.05
10453,19970221,70,1,4,25,300.00,0.10
10453,19970221,48,3,4,15,153.00,0.10
10454,19970221,16,3,41,20,278.00,0.20
10454,19970221,33,4,41,20,40.00,0.20
10454,19970221,46,8,41,10,96.00,0.20
10455,19970224,71,4,87,30,516.00,0.00
10455,19970224,39,1,87,20,288.00,0.00
10455,19970224,61,2,87,25,570.00,0.00
10455,19970224,53,6,87,50,1310.00,0.00
10456,19970225,49,3,39,21,336.00,0.15
10456,19970225,21,3,39,40,320.00,0.15
10457,19970225,59,4,39,36,1584.00,0.00
10458,19970226,56,5,76,15,456.00,0.00
10458,19970226,43,1,76,20,736.00,0.00
10458,19970226,26,3,76,30,747.00,0.00
10458,19970226,71,4,76,50,860.00,0.00
10458,19970226,28,7,76,30,1092.00,0.00
10459,19970227,7,7,84,16,384.00,0.05
10459,19970227,46,8,84,20,192.00,0.05
10459,19970227,72,4,84,40,1112.00,0.00
10460,19970228,68,3,24,21,210.00,0.25
10460,19970228,75,1,24,4,24.80,0.25
10461,19970228,21,3,46,40,320.00,0.25
10461,19970228,30,8,46,28,579.60,0.25
10461,19970228,55,6,46,60,1152.00,0.25
10462,19970303,13,8,16,1,4.80,0.00
10462,19970303,23,5,16,21,151.20,0.00
10463,19970304,42,5,76,50,560.00,0.00
10463,19970304,19,3,76,21,153.30,0.00
10464,19970304,4,2,28,16,281.60,0.20
10464,19970304,56,5,28,30,912.00,0.20
10464,19970304,60,4,28,20,544.00,0.00
10464,19970304,43,1,28,3,110.40,0.00
10465,19970305,24,1,83,25,90.00,0.00
10465,19970305,45,8,83,30,228.00,0.10
10465,19970305,50,3,83,25,325.00,0.00
10465,19970305,40,8,83,20,294.00,0.00
10465,19970305,29,6,83,18,1782.00,0.10
10466,19970306,46,8,15,5,48.00,0.00
10466,19970306,11,4,15,10,168.00,0.00
10467,19970306,25,3,49,12,134.40,0.00
10467,19970306,24,1,49,28,100.80,0.00
10468,19970307,43,1,39,15,552.00,0.00
